TeamId,OpponentId,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveRebounds,ThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
1610612760,1610612756,1,19,45,10,35,29,14,0.483,35,30,0.857,101,54,0.535,21,9,3,24
1610612756,1610612760,0,15,40,13,27,38,18,0.474,17,17,1.0,111,57,0.514,35,6,16,30
1610612756,1610612761,1,8,32,8,24,27,15,0.556,27,23,0.852,88,51,0.58,37,10,3,20
1610612752,1610612756,1,22,63,19,44,11,4,0.364,54,32,0.593,105,52,0.495,23,12,1,27
1610612743,1610612756,1,17,46,12,34,17,8,0.471,36,29,0.806,104,51,0.49,27,7,5,26
1610612756,1610612743,0,17,41,12,29,35,14,0.4,27,23,0.852,104,50,0.481,36,6,4,29
1610612764,1610612760,1,12,41,13,28,17,8,0.471,41,33,0.805,82,48,0.585,31,10,2,27
1610612756,1610612766,1,13,51,15,36,26,10,0.385,32,30,0.938,96,48,0.5,22,4,5,17
1610612756,1610612752,0,17,47,7,40,44,13,0.295,16,14,0.875,112,53,0.473,39,7,4,41
1610612749,1610612756,1,19,45,10,35,32,18,0.563,15,10,0.667,86,52,0.605,36,8,3,17
1610612747,1610612752,1,14,46,13,33,16,9,0.563,58,43,0.741,68,39,0.574,22,10,3,20
1610612756,1610612757,1,12,52,16,36,32,16,0.5,15,14,0.933,90,50,0.556,33,4,15,17
1610612756,1610612760,1,10,40,14,26,31,11,0.355,13,10,0.769,96,54,0.563,33,6,1,24
1610612764,1610612744,1,16,39,14,25,15,3,0.2,55,48,0.873,78,39,0.5,22,7,1,25
1610612761,1610612752,1,11,37,8,29,15,6,0.4,30,25,0.833,83,49,0.59,29,6,3,35
1610612745,1610612746,1,15,47,10,37,13,7,0.538,33,27,0.818,81,47,0.58,32,11,3,27
1610612748,1610612764,1,14,52,13,39,18,6,0.333,44,32,0.727,82,45,0.549,26,4,3,32
1610612741,1610612761,1,16,57,14,43,20,7,0.35,29,22,0.759,90,49,0.544,31,3,2,28
1610612742,1610612758,1,14,44,15,29,10,4,0.4,28,25,0.893,80,49,0.613,29,2,5,20
1610612761,1610612756,0,16,46,18,28,22,11,0.5,30,25,0.833,91,45,0.495,17,4,0,25
1610612756,1610612746,1,16,47,3,44,31,16,0.516,11,10,0.909,90,50,0.556,31,6,6,20
1610612760,1610612761,1,18,42,11,31,21,5,0.238,49,41,0.837,79,40,0.506,20,11,2,29
1610612766,1610612737,1,10,37,9,28,10,5,0.5,28,20,0.714,88,50,0.568,30,9,3,23
1610612749,1610612761,1,15,41,9,32,20,9,0.45,45,34,0.756,74,41,0.554,32,5,4,20
1610612756,1610612757,1,10,42,13,29,30,13,0.433,32,26,0.813,90,43,0.478,24,9,4,23
1610612759,1610612761,1,11,32,7,25,19,8,0.421,25,19,0.76,83,49,0.59,27,5,6,30
1610612755,1610612738,1,20,55,14,41,21,9,0.429,45,34,0.756,99,41,0.414,25,10,10,30
1610612743,1610612737,1,21,39,12,27,7,1,0.143,39,36,0.923,75,44,0.587,29,8,10,24
1610612739,1610612755,1,18,50,14,36,22,11,0.5,25,19,0.76,83,47,0.566,30,9,5,24
1610612738,1610612761,1,20,38,8,30,24,12,0.5,53,40,0.755,67,36,0.537,26,6,4,20
1610612744,1610612764,0,17,35,11,24,26,8,0.308,31,24,0.774,82,46,0.561,25,10,3,41
1610612761,1610612758,1,8,37,11,26,23,10,0.435,33,24,0.727,97,45,0.464,21,10,3,35
1610612738,1610612755,0,26,56,11,45,26,11,0.423,33,25,0.758,100,44,0.44,26,10,6,35
1610612756,1610612758,1,15,38,8,30,18,10,0.556,17,15,0.882,86,49,0.57,27,10,2,31
1610612738,1610612752,1,19,44,9,35,17,7,0.412,35,28,0.8,77,44,0.571,21,12,6,28
1610612758,1610612749,1,12,43,14,29,15,7,0.467,40,34,0.85,79,41,0.519,31,6,1,20
1610612756,1610612753,1,12,36,12,24,31,13,0.419,21,18,0.857,89,46,0.517,34,7,8,15
1610612756,1610612749,1,14,45,6,39,25,9,0.36,16,12,0.75,90,51,0.567,32,2,8,25
1610612756,1610612755,1,10,37,8,29,23,11,0.478,14,12,0.857,86,50,0.581,32,4,5,22
1610612758,1610612761,0,20,51,8,43,18,7,0.389,46,38,0.826,79,39,0.494,16,7,2,25
1610612745,1610612764,1,12,43,11,32,17,9,0.529,33,28,0.848,78,43,0.551,29,7,7,31
1610612758,1610612760,1,11,33,7,26,14,7,0.5,34,30,0.882,74,43,0.581,30,6,2,24
1610612739,1610612755,1,16,49,16,33,20,8,0.4,38,29,0.763,87,43,0.494,23,6,5,21
1610612760,1610612757,1,14,52,10,42,17,11,0.647,25,23,0.92,83,44,0.53,26,3,1,20
1610612744,1610612742,1,11,32,13,19,24,11,0.458,28,25,0.893,92,43,0.467,26,15,1,30
1610612744,1610612743,1,15,47,14,33,21,10,0.476,35,26,0.743,88,43,0.489,26,9,9,25
1610612747,1610612761,1,16,51,18,33,23,10,0.435,33,28,0.848,88,42,0.477,18,9,9,23
1610612737,1610612752,1,20,33,11,22,16,12,0.75,32,24,0.75,68,43,0.632,20,9,10,29
1610612766,1610612754,1,11,35,5,30,18,11,0.611,32,29,0.906,78,41,0.526,23,17,5,25
1610612756,1610612747,1,10,39,9,30,23,10,0.435,28,22,0.786,89,45,0.506,35,6,4,23
1610612744,1610612737,1,20,38,11,27,19,7,0.368,45,29,0.644,74,43,0.581,24,10,8,21
1610612760,1610612757,1,16,42,15,27,16,7,0.438,23,20,0.87,84,47,0.56,30,8,2,19
1610612742,1610612744,0,20,43,11,32,15,6,0.4,38,35,0.921,74,40,0.541,24,4,7,25
1610612752,1610612737,1,23,42,9,33,9,5,0.556,58,40,0.69,76,38,0.5,18,11,3,35
1610612748,1610612762,1,17,50,8,42,18,7,0.389,48,42,0.875,63,36,0.571,20,8,9,19
1610612759,1610612752,1,15,36,8,28,23,11,0.478,30,20,0.667,72,45,0.625,31,8,9,33
1610612766,1610612756,0,10,40,8,32,20,11,0.55,15,12,0.8,100,49,0.49,24,6,1,25
1610612761,1610612760,1,8,38,8,30,22,11,0.5,39,36,0.923,77,37,0.481,20,2,3,16
1610612761,1610612753,1,12,34,8,26,10,7,0.7,31,22,0.71,73,46,0.63,23,6,4,24
1610612755,1610612761,1,16,34,11,23,16,9,0.563,33,26,0.788,79,43,0.544,25,9,3,23
1610612761,1610612760,0,19,44,17,27,32,13,0.406,26,18,0.692,96,45,0.469,25,3,0,32
1610612754,1610612761,1,14,39,7,32,22,10,0.455,29,24,0.828,76,43,0.566,31,5,8,23
1610612737,1610612749,1,16,40,12,28,9,3,0.333,36,27,0.75,79,45,0.57,25,6,5,25
1610612761,1610612738,0,11,42,18,24,20,4,0.2,28,28,1.0,99,44,0.444,24,11,4,32
1610612739,1610612766,1,19,46,8,38,16,9,0.563,35,25,0.714,79,43,0.544,31,8,9,26
1610612760,1610612756,0,13,40,12,28,20,8,0.4,27,22,0.815,85,45,0.529,28,4,4,16
1610612760,1610612747,1,15,40,8,32,14,7,0.5,24,19,0.792,80,47,0.588,26,9,3,23
1610612743,1610612760,1,16,40,14,26,14,4,0.286,40,34,0.85,84,41,0.488,22,11,5,18
1610612737,1610612752,1,11,39,16,23,17,10,0.588,36,30,0.833,84,40,0.476,16,11,4,28
1610612752,1610612760,1,14,40,14,26,11,4,0.364,38,32,0.842,81,42,0.519,23,5,2,25
1610612743,1610612738,1,14,34,7,27,17,6,0.353,43,32,0.744,78,41,0.526,29,12,8,23
1610612764,1610612765,1,12,61,25,36,26,10,0.385,46,38,0.826,100,36,0.36,18,11,5,29
1610612737,1610612738,1,19,38,14,24,8,6,0.75,38,34,0.895,72,40,0.556,23,6,4,25
1610612755,1610612739,0,10,33,6,27,9,4,0.444,22,20,0.909,91,48,0.527,28,10,4,23
1610612746,1610612756,1,12,53,9,44,9,5,0.556,29,22,0.759,85,46,0.541,24,4,5,17
1610612764,1610612766,1,19,38,7,31,20,6,0.3,39,33,0.846,77,40,0.519,20,6,4,29
1610612755,1610612764,1,15,34,8,26,18,6,0.333,27,23,0.852,80,45,0.563,24,4,6,24
1610612766,1610612760,1,19,34,11,23,15,8,0.533,26,17,0.654,83,47,0.566,29,12,6,30
1610612753,1610612755,1,19,37,9,28,13,7,0.538,41,26,0.634,73,43,0.589,27,6,3,27
1610612748,1610612758,1,6,37,8,29,15,5,0.333,30,20,0.667,79,47,0.595,28,10,9,16
1610612758,1610612756,1,17,55,11,44,24,12,0.5,21,17,0.81,88,45,0.511,26,9,1,19
1610612747,1610612755,1,20,43,10,33,20,13,0.65,18,10,0.556,82,48,0.585,25,8,5,20
1610612755,1610612766,1,17,46,15,31,14,9,0.643,30,24,0.8,91,43,0.473,30,11,9,15
1610612764,1610612761,1,12,44,12,32,19,7,0.368,36,22,0.611,90,45,0.5,25,10,5,20
1610612742,1610612765,1,11,47,15,32,7,2,0.286,32,27,0.844,76,45,0.592,15,5,7,16
1610612758,1610612762,1,12,41,11,30,14,6,0.429,37,31,0.838,75,41,0.547,28,11,8,23
1610612766,1610612739,0,10,46,15,31,25,7,0.28,31,23,0.742,98,44,0.449,21,10,3,30
1610612748,1610612764,1,13,38,10,28,22,9,0.409,41,31,0.756,75,39,0.52,22,6,5,24
1610612753,1610612756,0,16,40,11,29,10,4,0.4,20,14,0.7,90,50,0.556,20,10,4,23
1610612761,1610612759,0,14,39,16,23,18,6,0.333,40,28,0.7,85,42,0.494,14,3,4,27
1610612756,1610612741,1,15,48,11,37,39,17,0.436,19,15,0.789,89,43,0.483,30,6,2,16
1610612748,1610612746,1,13,31,7,24,20,11,0.55,39,27,0.692,73,40,0.548,28,5,9,22
1610612749,1610612737,1,17,46,13,33,13,4,0.308,43,36,0.837,76,39,0.513,15,5,7,23
1610612758,1610612747,1,11,41,8,33,26,12,0.462,28,24,0.857,88,41,0.466,27,6,0,22
1610612748,1610612757,1,13,49,7,42,17,10,0.588,22,14,0.636,80,47,0.588,28,10,1,26
1610612758,1610612746,1,17,41,10,31,9,3,0.333,29,25,0.862,82,45,0.549,23,6,5,24
1610612760,1610612738,1,13,49,20,29,18,2,0.111,50,38,0.76,81,39,0.481,20,7,3,27
1610612743,1610612744,1,16,40,11,29,17,7,0.412,23,17,0.739,78,47,0.603,28,9,7,24
1610612751,1610612744,1,14,40,6,34,20,10,0.5,19,16,0.842,80,46,0.575,36,7,4,23
1610612741,1610612738,1,21,40,8,32,17,14,0.824,26,18,0.692,72,43,0.597,34,9,8,18
1610612741,1610612764,1,21,40,10,30,20,9,0.45,20,13,0.65,88,48,0.545,33,8,4,28
1610612756,1610612744,1,17,54,16,38,25,10,0.4,29,22,0.759,97,43,0.443,25,8,3,23
1610612758,1610612756,1,10,46,20,26,16,7,0.438,29,23,0.793,99,44,0.444,28,9,2,18
