TeamId,OpponentId,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveRebounds,ThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
1610612737,1610612752,1,14,40,15,25,15,6,0.4,48,41,0.854,83,46,0.554,29,6,6,26
1610612742,1610612764,1,14,40,7,33,17,11,0.647,41,36,0.878,78,45,0.577,23,9,4,27
1610612759,1610612744,1,12,59,25,34,24,11,0.458,37,27,0.73,112,49,0.438,24,3,5,26
1610612756,1610612762,1,13,34,9,25,29,15,0.517,42,33,0.786,80,44,0.55,28,7,5,34
1610612752,1610612737,0,13,35,11,24,32,17,0.531,33,26,0.788,90,46,0.511,27,4,2,35
1610612744,1610612759,0,14,57,19,38,27,11,0.407,34,25,0.735,105,49,0.467,27,7,7,32
1610612738,1610612746,1,15,40,12,28,15,7,0.467,32,27,0.844,100,50,0.5,27,9,2,37
1610612756,1610612752,1,14,45,10,35,32,16,0.5,38,25,0.658,85,46,0.541,24,5,9,21
1610612758,1610612756,1,12,55,15,40,24,12,0.5,21,18,0.857,98,51,0.52,33,5,5,17
1610612756,1610612757,1,14,32,9,23,19,9,0.474,33,24,0.727,85,48,0.565,28,7,6,18
1610612753,1610612761,1,18,61,14,47,14,6,0.429,28,21,0.75,89,51,0.573,28,6,7,29
1610612760,1610612762,1,10,35,10,25,29,13,0.448,41,32,0.78,81,42,0.519,25,4,2,27
1610612756,1610612743,1,19,39,6,33,27,14,0.519,28,22,0.786,81,46,0.568,28,9,5,23
1610612758,1610612739,1,13,39,13,26,19,10,0.526,26,22,0.846,84,48,0.571,31,8,3,25
1610612761,1610612755,1,11,45,18,27,34,21,0.618,15,13,0.867,95,47,0.495,32,9,3,11
1610612762,1610612756,0,11,42,15,27,11,4,0.364,43,26,0.605,89,49,0.551,27,4,2,38
1610612756,1610612738,1,20,38,13,25,25,13,0.52,27,21,0.778,85,47,0.553,31,13,4,14
1610612759,1610612756,1,15,44,13,31,29,11,0.379,29,23,0.793,96,47,0.49,26,13,5,20
1610612761,1610612749,1,16,42,10,32,23,12,0.522,26,23,0.885,88,46,0.523,29,9,2,26
1610612744,1610612756,1,15,57,24,33,35,18,0.514,19,13,0.684,105,48,0.457,32,6,6,17
1610612743,1610612764,1,18,48,13,35,18,8,0.444,34,19,0.559,90,50,0.556,37,15,6,32
1610612745,1610612756,1,11,56,19,37,20,8,0.4,35,29,0.829,91,45,0.495,24,6,7,20
1610612746,1610612738,0,22,48,15,33,13,3,0.231,47,40,0.851,91,42,0.462,30,7,5,28
1610612744,1610612747,1,14,49,13,36,36,15,0.417,26,19,0.731,89,46,0.517,35,8,5,17
1610612755,1610612748,1,13,42,13,29,20,11,0.55,34,33,0.971,93,41,0.441,28,11,3,25
1610612759,1610612746,1,9,41,15,26,25,11,0.44,43,32,0.744,99,41,0.414,29,10,5,30
1610612756,1610612747,1,15,49,13,36,39,17,0.436,12,10,0.833,88,49,0.557,33,7,8,15
1610612748,1610612756,1,13,41,12,29,14,9,0.643,21,18,0.857,89,49,0.551,28,10,4,26
1610612756,1610612758,1,19,50,16,34,21,7,0.333,26,18,0.692,96,50,0.521,26,9,3,21
1610612758,1610612747,1,16,62,24,38,25,7,0.28,20,17,0.85,98,50,0.51,28,7,3,25
1610612746,1610612759,0,22,42,5,37,5,3,0.6,40,31,0.775,78,45,0.577,30,4,7,36
1610612756,1610612742,1,19,45,11,34,20,8,0.4,27,18,0.667,87,49,0.563,20,8,5,23
1610612745,1610612742,1,14,40,7,33,25,12,0.48,22,18,0.818,77,47,0.61,35,9,8,18
1610612756,1610612754,1,10,55,15,40,23,9,0.391,22,15,0.682,92,50,0.543,29,7,7,19
1610612756,1610612743,1,18,39,13,26,22,10,0.455,36,25,0.694,80,44,0.55,23,8,1,20
1610612742,1610612756,0,12,45,15,30,21,7,0.333,33,24,0.727,94,46,0.489,19,18,4,24
1610612745,1610612764,1,13,43,8,35,24,12,0.5,13,11,0.846,84,50,0.595,33,8,7,18
1610612758,1610612756,0,15,42,12,30,20,12,0.6,24,17,0.708,93,47,0.505,34,12,2,21
1610612756,1610612761,1,13,49,11,38,23,10,0.435,29,23,0.793,86,45,0.523,22,3,4,24
1610612756,1610612759,0,19,41,7,34,21,11,0.524,28,18,0.643,87,47,0.54,30,11,7,24
1610612758,1610612739,1,8,48,10,38,25,12,0.48,14,11,0.786,93,50,0.538,34,6,4,21
1610612742,1610612749,1,8,36,12,24,16,7,0.438,28,22,0.786,89,47,0.528,28,8,4,21
1610612742,1610612752,1,13,47,13,34,17,8,0.471,36,33,0.917,85,41,0.482,25,10,4,20
1610612755,1610612749,1,11,36,5,31,24,11,0.458,17,15,0.882,89,48,0.539,34,12,2,20
1610612743,1610612744,1,12,46,8,38,16,4,0.25,36,26,0.722,87,46,0.529,38,9,7,16
1610612758,1610612760,1,11,35,10,25,19,11,0.579,22,17,0.773,80,47,0.588,36,7,4,22
1610612744,1610612745,1,10,36,9,27,29,11,0.379,41,33,0.805,80,39,0.488,29,11,3,23
1610612764,1610612737,1,12,34,8,26,12,8,0.667,39,28,0.718,72,43,0.597,17,10,5,18
1610612742,1610612758,1,14,52,23,29,22,10,0.455,17,12,0.706,107,50,0.467,30,11,7,21
1610612742,1610612761,1,13,38,9,29,16,6,0.375,32,22,0.688,78,47,0.603,29,8,5,20
1610612760,1610612762,1,16,25,6,19,22,13,0.591,45,33,0.733,64,38,0.594,20,9,4,32
1610612756,1610612748,1,9,42,11,31,29,9,0.31,27,23,0.852,95,45,0.474,27,12,1,19
1610612756,1610612750,1,9,32,11,21,33,10,0.303,21,16,0.762,89,48,0.539,28,5,7,17
1610612756,1610612746,1,13,34,11,23,19,11,0.579,34,23,0.676,82,44,0.537,27,9,9,21
1610612742,1610612764,1,16,38,11,27,19,12,0.632,29,24,0.828,82,43,0.524,29,13,2,23
1610612753,1610612747,1,13,50,17,33,22,12,0.545,30,22,0.733,88,44,0.5,25,4,7,26
1610612743,1610612760,1,12,35,6,29,11,5,0.455,46,36,0.783,70,40,0.571,31,5,9,19
1610612741,1610612761,1,21,36,7,29,15,11,0.733,26,22,0.846,76,44,0.579,24,6,5,25
1610612749,1610612738,1,17,40,12,28,19,10,0.526,36,29,0.806,76,41,0.539,25,10,3,22
1610612756,1610612749,1,8,40,11,29,24,10,0.417,34,25,0.735,85,43,0.506,29,7,3,20
1610612742,1610612754,1,14,40,8,32,9,4,0.444,40,37,0.925,73,40,0.548,19,4,4,31
1610612740,1610612758,1,10,46,13,33,26,13,0.5,29,24,0.828,93,42,0.452,29,7,1,28
1610612756,1610612753,1,12,47,14,33,30,13,0.433,25,16,0.64,90,46,0.511,30,6,10,22
1610612756,1610612757,1,13,44,18,26,27,15,0.556,25,20,0.8,90,43,0.478,26,5,8,19
1610612750,1610612758,1,14,51,12,39,15,9,0.6,28,24,0.857,90,44,0.489,22,5,12,27
1610612756,1610612766,1,13,55,17,38,29,12,0.414,26,22,0.846,90,43,0.478,25,9,6,23
1610612743,1610612766,1,13,47,13,34,24,10,0.417,26,18,0.692,85,46,0.541,40,9,10,18
1610612738,1610612756,1,15,55,17,38,18,7,0.389,36,29,0.806,95,42,0.442,17,10,11,27
1610612764,1610612742,0,14,42,20,22,23,9,0.391,46,33,0.717,92,39,0.424,19,12,1,27
1610612764,1610612747,1,6,38,9,29,11,3,0.273,27,21,0.778,94,48,0.511,28,9,5,21
1610612756,1610612739,1,13,48,12,36,18,8,0.444,21,18,0.857,89,47,0.528,19,5,3,13
1610612743,1610612757,1,15,52,15,37,13,3,0.231,27,24,0.889,95,46,0.484,29,8,8,30
1610612764,1610612739,1,12,40,10,30,13,5,0.385,29,22,0.759,78,46,0.59,16,6,5,24
1610612748,1610612755,0,20,47,12,35,18,7,0.389,34,22,0.647,88,45,0.511,24,10,4,27
1610612764,1610612749,1,13,43,19,24,16,6,0.375,29,23,0.793,84,45,0.536,29,5,1,21
1610612756,1610612744,0,13,45,13,32,32,12,0.375,24,21,0.875,97,43,0.443,30,9,10,18
1610612758,1610612757,1,14,44,21,23,22,10,0.455,30,25,0.833,91,42,0.462,25,9,3,25
1610612761,1610612766,1,6,37,8,29,17,8,0.471,31,27,0.871,83,42,0.506,18,8,3,23
1610612738,1610612766,1,22,35,11,24,16,8,0.5,22,17,0.773,81,47,0.58,27,8,7,27
1610612745,1610612741,1,10,40,7,33,14,9,0.643,21,20,0.952,81,45,0.556,29,8,3,26
1610612742,1610612756,1,15,44,8,36,15,8,0.533,23,21,0.913,84,45,0.536,19,7,8,19
1610612745,1610612750,1,7,55,19,36,14,9,0.643,33,26,0.788,95,42,0.442,27,3,2,23
1610612738,1610612756,0,18,32,11,21,26,9,0.346,18,14,0.778,93,48,0.516,31,12,6,22
1610612738,1610612753,1,20,50,18,32,19,8,0.421,26,21,0.808,95,45,0.474,30,15,6,25
1610612752,1610612753,1,11,35,13,22,17,6,0.353,31,21,0.677,86,46,0.535,29,11,1,32
1610612750,1610612755,1,16,51,12,39,34,15,0.441,21,20,0.952,85,42,0.494,34,8,4,16
1610612758,1610612738,1,13,45,17,28,18,9,0.5,23,18,0.783,96,46,0.479,35,9,2,24
1610612762,1610612760,0,10,40,16,24,11,2,0.182,33,29,0.879,90,44,0.489,26,2,3,34
1610612758,1610612755,1,15,51,19,32,15,11,0.733,16,11,0.688,96,48,0.5,26,10,6,19
1610612756,1610612753,1,21,38,10,28,27,10,0.37,30,24,0.8,79,42,0.532,25,10,1,29
1610612744,1610612749,1,13,36,14,22,31,11,0.355,28,17,0.607,92,45,0.489,28,10,5,34
1610612755,1610612749,1,16,40,12,28,29,10,0.345,21,20,0.952,90,44,0.489,27,11,5,30
1610612756,1610612746,1,15,49,11,38,22,10,0.455,27,18,0.667,80,45,0.563,22,10,11,22
1610612745,1610612755,1,17,47,9,38,25,14,0.56,28,22,0.786,76,41,0.539,35,4,3,24
1610612752,1610612756,0,12,52,23,29,13,6,0.462,29,22,0.759,105,45,0.429,22,7,4,27
1610612764,1610612761,1,14,46,12,34,23,7,0.304,41,31,0.756,82,40,0.488,23,5,7,23
1610612742,1610612747,1,8,42,8,34,17,6,0.353,29,20,0.69,83,46,0.554,22,8,6,24
1610612756,1610612744,1,11,47,8,39,20,8,0.4,35,26,0.743,87,42,0.483,21,5,9,16
1610612760,1610612763,1,12,33,6,27,13,6,0.462,39,34,0.872,68,39,0.574,16,7,6,25
1610612748,1610612764,1,17,45,8,37,22,8,0.364,38,24,0.632,77,43,0.558,29,8,6,26
1610612741,1610612753,1,15,57,13,44,17,8,0.471,20,13,0.65,89,48,0.539,36,6,6,24
1610612747,1610612760,1,8,39,13,26,23,12,0.522,24,21,0.875,82,42,0.512,31,6,2,26
1610612745,1610612744,0,15,43,12,31,25,8,0.32,19,19,1.0,91,45,0.495,21,8,4,25
1610612747,1610612752,1,10,33,9,24,24,10,0.417,38,29,0.763,73,39,0.534,25,10,1,18
1610612742,1610612739,1,13,43,9,34,18,14,0.778,20,15,0.75,80,44,0.55,26,7,12,20
1610612749,1610612744,0,21,48,15,33,14,6,0.429,31,25,0.806,85,43,0.506,25,5,2,28
1610612743,1610612747,1,15,41,12,29,26,10,0.385,31,23,0.742,87,42,0.483,25,13,4,26
