TeamId,OpponentId,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveRebounds,ThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
1610612742,1610612743,1,17,49,11,38,29,11,0.379,24,19,0.792,109,57,0.523,39,8,6,23
1610612743,1610612742,0,15,61,27,34,43,15,0.349,25,22,0.88,125,53,0.424,29,10,1,26
1610612742,1610612747,1,9,39,11,28,35,18,0.514,28,20,0.714,82,51,0.622,37,4,2,16
1610612740,1610612750,1,13,34,3,31,20,15,0.75,16,12,0.75,84,56,0.667,31,13,3,30
1610612760,1610612750,1,13,46,18,28,28,12,0.429,31,22,0.71,95,52,0.547,22,10,6,25
1610612760,1610612756,1,14,50,19,31,35,11,0.314,49,44,0.898,99,41,0.414,22,6,4,27
1610612744,1610612747,1,16,51,11,40,28,14,0.5,34,30,0.882,86,46,0.535,32,4,5,26
1610612742,1610612760,1,6,34,4,30,15,4,0.267,24,19,0.792,91,56,0.615,35,8,1,23
1610612758,1610612752,1,17,39,10,29,16,8,0.5,33,29,0.879,89,49,0.551,23,9,7,27
1610612756,1610612760,0,14,39,7,32,27,13,0.481,35,29,0.829,90,46,0.511,17,7,3,35
1610612744,1610612743,1,13,41,14,27,28,13,0.464,34,26,0.765,90,47,0.522,30,11,6,25
1610612764,1610612738,1,23,49,11,38,16,7,0.438,34,28,0.824,94,49,0.521,32,10,3,26
1610612738,1610612764,0,17,46,14,32,22,9,0.409,32,29,0.906,102,47,0.461,27,17,4,30
1610612742,1610612741,1,14,46,12,34,30,15,0.5,27,23,0.852,102,47,0.461,30,9,6,28
1610612737,1610612751,1,13,34,7,27,33,17,0.515,19,16,0.842,82,49,0.598,40,15,4,16
1610612760,1610612742,0,11,46,15,31,31,14,0.452,33,27,0.818,93,45,0.484,23,4,1,21
1610612760,1610612746,1,11,54,16,38,20,8,0.4,38,31,0.816,88,46,0.523,26,8,6,21
1610612744,1610612745,1,14,49,12,37,22,9,0.409,33,22,0.667,91,50,0.549,32,11,11,21
1610612742,1610612750,1,9,40,12,28,26,8,0.308,23,19,0.826,94,52,0.553,31,5,10,24
1610612758,1610612743,1,13,40,9,31,20,8,0.4,50,39,0.78,76,42,0.553,21,8,3,30
1610612759,1610612760,1,10,49,11,38,21,13,0.619,19,15,0.789,88,51,0.58,28,7,4,12
1610612737,1610612758,1,13,33,10,23,36,20,0.556,7,4,0.571,88,53,0.602,42,8,6,18
1610612757,1610612743,1,15,46,12,34,33,16,0.485,29,24,0.828,88,45,0.511,30,7,9,21
1610612751,1610612749,1,15,53,16,37,25,11,0.44,34,26,0.765,107,46,0.43,31,9,7,25
1610612742,1610612746,1,15,43,12,31,28,16,0.571,16,11,0.688,84,51,0.607,31,11,2,16
1610612739,1610612766,1,11,56,11,45,28,15,0.536,28,22,0.786,89,46,0.517,29,7,5,19
1610612752,1610612758,0,15,43,16,27,20,6,0.3,32,27,0.844,97,48,0.495,30,10,10,29
1610612741,1610612761,1,16,41,12,29,12,6,0.5,47,43,0.915,74,40,0.541,20,4,13,20
1610612757,1610612759,1,14,58,15,43,35,13,0.371,23,22,0.957,110,47,0.427,18,12,5,24
1610612741,1610612742,0,18,52,15,37,26,8,0.308,34,27,0.794,103,47,0.456,38,5,6,22
1610612747,1610612761,1,10,54,12,42,24,10,0.417,34,25,0.735,96,47,0.49,24,4,7,21
1610612739,1610612759,1,12,37,11,26,26,14,0.538,30,26,0.867,91,44,0.484,19,8,2,22
1610612744,1610612742,1,13,46,10,36,38,19,0.5,25,19,0.76,86,45,0.523,29,5,5,22
1610612765,1610612753,1,15,45,11,34,24,10,0.417,24,20,0.833,94,49,0.521,35,10,5,17
1610612744,1610612758,1,12,45,10,35,25,9,0.36,24,21,0.875,91,49,0.538,36,9,6,19
1610612744,1610612740,1,20,46,8,38,24,11,0.458,35,29,0.829,86,44,0.512,22,7,9,19
1610612760,1610612747,1,17,49,13,36,21,11,0.524,23,20,0.87,86,48,0.558,29,7,2,20
1610612749,1610612751,0,18,81,38,43,16,8,0.5,29,21,0.724,129,49,0.38,23,11,9,31
1610612739,1610612742,1,14,50,12,38,32,15,0.469,29,24,0.828,87,44,0.506,25,11,5,28
1610612739,1610612764,1,11,42,10,32,33,14,0.424,28,21,0.75,90,46,0.511,28,12,4,17
1610612745,1610612756,1,14,47,15,32,37,15,0.405,23,16,0.696,95,48,0.505,28,9,3,24
1610612761,1610612751,1,10,45,9,36,26,7,0.269,30,26,0.867,92,47,0.511,22,5,3,21
1610612760,1610612753,1,20,54,10,44,25,9,0.36,32,22,0.688,83,48,0.578,28,12,5,24
1610612760,1610612744,1,14,54,16,38,22,10,0.455,19,15,0.789,97,51,0.526,27,8,2,21
1610612746,1610612755,1,9,43,9,34,37,15,0.405,26,20,0.769,85,46,0.541,33,13,3,19
1610612737,1610612739,1,9,40,6,34,28,16,0.571,16,13,0.813,76,49,0.645,36,3,5,17
1610612746,1610612750,1,15,50,9,41,34,15,0.441,36,30,0.833,80,41,0.513,33,5,7,26
1610612739,1610612737,1,14,47,12,35,31,19,0.613,13,10,0.769,90,49,0.544,39,12,2,14
1610612744,1610612747,1,20,43,12,31,23,11,0.478,28,24,0.857,83,46,0.554,30,10,4,26
1610612743,1610612744,0,21,40,9,31,18,6,0.333,36,30,0.833,83,45,0.542,28,10,4,25
1610612746,1610612757,1,6,40,7,33,28,15,0.536,24,19,0.792,86,46,0.535,30,6,3,21
1610612746,1610612758,1,11,54,11,43,35,14,0.4,28,20,0.714,95,46,0.484,31,9,11,29
1610612744,1610612758,1,18,46,12,34,40,17,0.425,22,19,0.864,94,45,0.479,32,13,8,22
1610612744,1610612745,1,18,46,16,30,29,13,0.448,18,15,0.833,98,49,0.5,26,13,9,23
1610612739,1610612746,1,20,44,12,32,23,10,0.435,31,24,0.774,83,46,0.554,23,9,3,30
1610612744,1610612761,1,9,45,14,31,28,12,0.429,20,16,0.8,92,49,0.533,35,8,8,18
1610612744,1610612755,1,14,42,8,34,28,12,0.429,27,22,0.815,82,46,0.561,38,19,11,20
1610612761,1610612737,1,11,36,11,25,29,14,0.483,33,28,0.848,82,42,0.512,24,7,7,24
