TeamId,OpponentId,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveRebounds,ThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
1610612745,1610612747,1,14,58,12,46,26,11,0.423,28,22,0.786,97,56,0.577,33,8,9,22
1610612750,1610612747,1,21,49,9,40,18,8,0.444,40,33,0.825,76,51,0.671,33,6,2,14
1610612746,1610612747,1,18,64,16,48,26,12,0.462,22,16,0.727,103,57,0.553,34,16,5,21
1610612757,1610612755,1,19,46,15,31,37,21,0.568,20,14,0.7,93,52,0.559,41,9,8,16
1610612743,1610612740,1,11,40,8,32,27,15,0.556,25,18,0.72,92,52,0.565,33,8,12,29
1610612743,1610612747,1,15,58,17,41,29,12,0.414,24,19,0.792,99,53,0.535,32,12,8,25
1610612746,1610612745,1,12,38,9,29,38,15,0.395,28,24,0.857,94,49,0.521,33,7,7,29
1610612762,1610612750,1,19,60,22,38,24,6,0.25,29,24,0.828,108,53,0.491,30,10,9,34
1610612740,1610612755,1,13,43,10,33,28,13,0.464,27,18,0.667,86,52,0.605,30,11,17,25
1610612743,1610612747,1,13,43,7,36,24,14,0.583,21,12,0.571,99,54,0.545,36,8,4,24
1610612764,1610612761,1,16,57,18,39,22,5,0.227,37,27,0.73,108,51,0.472,22,10,7,32
1610612745,1610612747,1,15,56,19,37,35,18,0.514,25,12,0.48,104,52,0.5,28,15,6,15
1610612757,1610612766,1,17,52,12,40,33,21,0.636,7,5,0.714,93,54,0.581,34,8,2,25
1610612759,1610612743,1,14,51,11,40,24,13,0.542,14,10,0.714,98,55,0.561,37,6,10,25
1610612740,1610612747,1,15,39,9,30,17,7,0.412,40,33,0.825,77,46,0.597,29,9,2,23
1610612750,1610612743,1,18,50,14,36,16,4,0.25,64,52,0.813,80,38,0.475,21,10,0,22
1610612760,1610612747,1,18,60,13,47,30,13,0.433,30,28,0.933,89,45,0.506,24,10,11,27
1610612740,1610612741,1,11,54,22,32,23,11,0.478,27,20,0.741,113,50,0.442,25,9,5,34
1610612750,1610612762,0,15,45,13,32,25,8,0.32,54,42,0.778,97,40,0.412,24,12,5,24
1610612744,1610612750,1,15,51,19,32,37,15,0.405,19,17,0.895,101,49,0.485,31,13,4,27
1610612747,1610612745,0,11,33,5,28,32,14,0.438,35,28,0.8,95,44,0.463,38,8,7,20
1610612745,1610612743,1,15,50,15,35,36,13,0.361,40,27,0.675,98,45,0.459,24,15,10,19
1610612744,1610612762,1,16,45,6,39,33,17,0.515,9,9,1.0,90,52,0.578,34,9,2,23
1610612749,1610612755,1,23,47,20,27,20,12,0.6,29,22,0.759,84,48,0.571,32,7,6,21
1610612751,1610612755,1,21,42,4,38,35,21,0.6,26,15,0.577,78,47,0.603,35,10,2,20
1610612757,1610612762,1,21,50,17,33,23,17,0.739,24,21,0.875,83,46,0.554,26,9,5,17
