TeamId,OpponentId,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveRebounds,ThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
1610612760,1610612750,1,13,50,11,39,27,10,0.37,20,19,0.95,113,60,0.531,24,12,7,26
1610612750,1610612760,0,17,43,11,32,36,14,0.389,36,28,0.778,100,49,0.49,24,6,4,17
1610612737,1610612762,1,11,64,15,49,19,6,0.316,47,37,0.787,107,48,0.449,29,5,6,30
1610612757,1610612759,1,11,47,7,40,28,15,0.536,24,20,0.833,86,51,0.593,31,5,7,21
1610612762,1610612737,0,10,64,23,41,21,6,0.286,35,29,0.829,126,49,0.389,28,8,8,38
1610612743,1610612750,1,16,48,12,36,10,5,0.5,20,14,0.7,89,56,0.629,30,9,4,22
1610612748,1610612766,1,15,47,5,42,11,7,0.636,31,26,0.839,80,48,0.6,33,10,3,18
1610612759,1610612740,1,13,40,11,29,18,9,0.5,21,17,0.81,84,51,0.607,31,8,8,21
1610612763,1610612758,1,11,51,11,40,16,8,0.5,27,20,0.741,92,50,0.543,27,11,9,20
1610612759,1610612758,1,11,40,9,31,21,8,0.381,31,25,0.806,80,47,0.588,26,7,3,20
1610612750,1610612756,1,11,39,12,27,22,14,0.636,21,13,0.619,89,50,0.562,30,4,3,22
1610612756,1610612757,1,11,41,9,32,15,7,0.467,19,16,0.842,85,51,0.6,29,4,8,20
1610612756,1610612747,1,3,36,9,27,29,14,0.483,21,17,0.81,94,47,0.5,26,6,11,15
1610612759,1610612739,1,13,46,12,34,23,11,0.478,21,18,0.857,81,48,0.593,31,10,5,15
1610612754,1610612749,1,12,49,14,35,12,7,0.583,39,32,0.821,84,43,0.512,19,9,5,20
1610612759,1610612757,1,16,47,8,39,22,12,0.545,21,16,0.762,81,48,0.593,34,11,8,9
1610612765,1610612758,1,10,37,10,27,13,8,0.615,20,16,0.8,86,50,0.581,29,6,2,20
1610612756,1610612750,0,7,37,10,27,21,9,0.429,29,23,0.793,89,46,0.517,24,7,7,19
1610612760,1610612743,1,14,44,17,27,28,9,0.321,28,23,0.821,94,46,0.489,20,8,12,19
1610612764,1610612757,1,16,43,12,31,17,9,0.529,23,19,0.826,80,48,0.6,21,8,5,25
1610612762,1610612742,1,21,53,14,39,28,12,0.429,37,29,0.784,95,41,0.432,30,6,5,28
1610612743,1610612744,1,16,60,16,44,18,9,0.5,24,18,0.75,88,48,0.545,35,7,9,13
1610612743,1610612751,1,19,37,7,30,18,11,0.611,30,24,0.8,74,44,0.595,37,13,7,16
1610612751,1610612739,1,13,53,20,33,26,8,0.308,32,26,0.813,98,44,0.449,21,11,2,22
1610612759,1610612753,1,6,45,11,34,26,13,0.5,27,23,0.852,83,43,0.518,27,2,3,14
1610612760,1610612766,1,14,39,6,33,23,10,0.435,26,20,0.769,73,46,0.63,27,8,13,19
1610612750,1610612757,1,14,37,10,27,23,12,0.522,28,24,0.857,80,43,0.538,20,4,3,20
1610612742,1610612756,1,11,44,10,34,27,14,0.519,18,12,0.667,87,48,0.552,31,7,3,16
1610612743,1610612758,1,14,48,17,31,13,2,0.154,25,20,0.8,91,50,0.549,29,10,8,18
1610612759,1610612747,1,16,42,11,31,15,10,0.667,18,17,0.944,77,47,0.61,27,9,5,22
1610612764,1610612749,1,11,41,9,32,13,7,0.538,25,16,0.64,88,49,0.557,23,6,4,18
