Team,Opponent,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveReboundsThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentageFieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
IND,DEN,W,14,45,10,35,30,16,0.533,21,16,0.762,87,56,0.644,37,7,7,20
LAL,PHX,W,9,56,18,38,27,11,0.407,25,22,0.88,120,53,0.442,30,10,5,18
GSW,TOR,W,10,40,7,33,17,10,0.588,32,26,0.813,83,51,0.614,33,12,5,22
DEN,PHX,W,10,49,15,34,30,16,0.533,52,36,0.692,83,43,0.518,28,5,7,26
PHX,LAL,L,13,52,10,42,41,17,0.415,22,18,0.818,106,51,0.481,34,3,5,24
NJN,TOR,W,17,62,20,42,29,12,0.414,39,29,0.744,105,48,0.457,34,6,14,30
IND,WAS,W,19,38,6,32,24,13,0.542,29,23,0.793,84,50,0.595,32,10,7,23
TOR,NJN,L,9,54,16,38,20,10,0.5,36,32,0.889,111,47,0.423,27,7,5,32
WAS,SAC,W,20,55,14,41,17,9,0.529,39,33,0.846,95,47,0.495,28,10,3,22
PHX,MIN,W,15,35,7,28,29,18,0.621,23,17,0.739,92,50,0.543,40,10,4,20
DEN,GSW,W,8,49,10,39,23,10,0.435,35,24,0.686,94,50,0.532,31,8,8,18
SAC,WAS,L,12,40,12,28,20,7,0.35,25,20,0.8,108,53,0.491,31,11,6,23
PHX,DEN,L,6,42,13,29,32,13,0.406,24,16,0.667,102,52,0.51,34,3,5,31
CHI,SAC,W,10,38,11,27,17,12,0.706,31,22,0.71,80,49,0.613,34,16,10,23
DEN,PHX,W,14,47,9,38,17,7,0.412,43,37,0.86,79,44,0.557,30,4,6,27
GSW,HOU,W,13,45,14,31,20,8,0.4,26,22,0.846,92,51,0.554,25,5,7,30
NYK,TOR,W,14,34,7,27,27,15,0.556,34,26,0.765,78,45,0.577,31,10,5,20
HOU,GSW,W,11,45,14,31,26,12,0.462,35,27,0.771,91,46,0.505,35,7,3,17
DEN,DET,W,11,44,11,33,37,18,0.486,29,21,0.724,82,46,0.561,33,10,3,8
NYK,UTA,W,16,35,9,26,26,13,0.5,29,26,0.897,82,46,0.561,32,10,5,23
UTA,NYK,W,14,36,11,25,22,10,0.455,39,31,0.795,77,45,0.584,31,9,7,27
DEN,MIN,W,13,49,12,37,38,19,0.5,34,19,0.559,88,46,0.523,35,8,1,19
DEN,MIA,W,9,50,12,38,31,15,0.484,22,17,0.773,92,49,0.533,31,8,3,18
SAC,GSW,W,19,46,11,35,17,8,0.471,33,27,0.818,83,47,0.566,28,11,5,24
HOU,MIN,W,14,40,9,31,30,14,0.467,36,29,0.806,87,43,0.494,26,7,3,24
PHX,NYK,W,13,48,14,34,21,11,0.524,31,28,0.903,91,45,0.495,26,4,2,19
NYK,DEN,W,6,33,8,25,30,13,0.433,26,24,0.923,88,46,0.523,30,6,7,23
MIN,CLE,W,18,46,6,40,26,18,0.692,18,15,0.833,81,48,0.593,30,4,8,24
MIA,MIN,W,16,47,8,39,21,12,0.571,31,25,0.806,79,46,0.582,31,9,7,27
NYK,SAS,W,6,38,10,28,27,8,0.296,23,20,0.87,91,50,0.549,26,9,4,17
PHX,MIN,W,16,46,14,32,27,15,0.556,33,25,0.758,87,44,0.506,32,7,2,19
ORL,MIN,W,13,56,17,39,31,15,0.484,32,21,0.656,92,46,0.5,27,9,15,26
HOU,GSW,L,9,39,15,24,16,4,0.25,52,42,0.808,87,41,0.471,24,9,2,20
MIN,PHX,L,17,45,13,32,16,7,0.438,20,16,0.8,95,52,0.547,21,7,3,16
LAC,WAS,W,25,45,13,32,26,9,0.346,33,26,0.788,93,46,0.495,36,7,7,26
SAC,MIN,W,16,47,11,36,22,11,0.5,23,14,0.609,91,51,0.56,30,11,4,22
DAL,NYK,W,12,47,17,30,24,11,0.458,24,20,0.833,94,48,0.511,26,9,5,25
DEN,CLE,W,18,49,7,42,21,13,0.619,22,16,0.727,84,49,0.583,30,13,7,25
HOU,MEM,W,14,32,6,26,23,16,0.696,26,23,0.885,74,44,0.595,26,9,3,25
TOR,WAS,W,13,52,14,38,11,6,0.545,27,19,0.704,88,51,0.58,28,6,7,29
MIN,GSW,W,20,61,25,36,25,12,0.48,37,30,0.811,94,42,0.447,23,9,5,23
OKC,SAC,W,12,48,10,38,24,8,0.333,30,28,0.933,90,45,0.5,28,9,10,23
CLE,LAC,W,15,43,12,31,20,8,0.4,32,26,0.813,92,46,0.5,34,7,6,24
LAC,MIN,W,24,48,22,26,21,12,0.571,36,26,0.722,89,44,0.494,26,9,4,24
MIA,HOU,W,10,48,17,31,17,5,0.294,34,28,0.824,92,46,0.5,16,1,6,19
PHI,GSW,W,22,53,17,36,12,3,0.25,31,26,0.839,97,48,0.495,32,14,3,17
SAS,MIA,W,8,40,5,35,28,17,0.607,23,16,0.696,82,46,0.561,29,7,1,18
MIN,HOU,L,16,42,10,32,20,10,0.5,28,23,0.821,91,46,0.505,30,8,6,31
OKC,ORL,W,11,42,11,31,14,7,0.5,37,30,0.811,78,44,0.564,24,3,5,27
NYK,UTA,L,14,26,8,18,29,14,0.483,38,33,0.868,77,39,0.506,21,5,1,29
MIA,HOU,W,17,40,4,36,16,5,0.313,37,34,0.919,74,43,0.581,20,3,9,26
DEN,NYK,L,11,43,14,29,21,7,0.333,40,34,0.85,83,42,0.506,20,3,4,19
PHX,WAS,W,15,43,14,29,21,8,0.381,35,23,0.657,81,47,0.58,30,8,2,14
NYK,DET,W,18,48,13,35,38,15,0.395,34,28,0.824,88,41,0.466,31,7,3,25
NYK,GSW,W,18,43,12,31,23,10,0.435,32,27,0.844,77,44,0.571,31,7,7,16
UTA,TOR,W,15,35,7,28,16,7,0.438,25,22,0.88,85,48,0.565,30,9,4,28
SAS,SAC,W,12,47,7,40,19,12,0.632,25,20,0.8,76,46,0.605,26,7,6,15
HOU,CLE,W,10,57,22,35,27,10,0.37,28,20,0.714,100,47,0.47,28,7,6,14
NYK,DET,W,6,41,15,26,18,6,0.333,41,36,0.878,80,41,0.513,19,4,3,16
IND,NJN,W,9,36,7,29,22,12,0.545,21,12,0.571,80,50,0.625,31,7,6,25
OKC,WAS,W,16,55,13,42,21,5,0.238,41,31,0.756,89,44,0.494,27,3,5,20
ORL,OKC,L,5,36,15,21,28,14,0.5,37,28,0.757,90,41,0.456,22,5,3,22
IND,TOR,W,18,47,9,38,26,13,0.5,20,17,0.85,85,47,0.553,33,10,8,15
NYK,LAC,W,11,32,11,21,24,11,0.458,51,43,0.843,76,35,0.461,22,13,6,26
SAS,HOU,W,12,47,13,34,21,9,0.429,25,17,0.68,101,49,0.485,28,11,6,22
LAL,MEM,W,19,59,20,39,23,14,0.609,30,24,0.8,84,43,0.512,22,8,4,23
NYK,CLE,W,10,36,10,26,24,10,0.417,33,31,0.939,85,41,0.482,23,13,5,19
MIA,WAS,W,13,35,8,27,19,10,0.526,39,31,0.795,71,41,0.577,28,7,7,18
DEN,TOR,W,16,52,13,39,23,7,0.304,37,30,0.811,90,43,0.478,31,9,10,18
GSW,ORL,W,12,34,8,26,35,21,0.6,13,10,0.769,93,46,0.495,35,12,3,23
HOU,SAC,W,16,39,12,27,23,9,0.391,27,26,0.963,83,44,0.53,23,8,5,17
GSW,MIN,L,13,40,14,26,32,13,0.406,24,22,0.917,96,44,0.458,21,13,9,24
HOU,NJN,W,12,46,11,35,18,8,0.444,40,31,0.775,82,42,0.512,33,8,2,26
PHI,PHX,W,12,46,12,34,10,3,0.3,35,30,0.857,82,45,0.549,18,6,2,16
ORL,SAS,W,13,39,4,35,25,13,0.52,17,10,0.588,84,50,0.595,31,5,3,20
DEN,TOR,W,22,38,8,30,26,12,0.462,28,25,0.893,76,43,0.566,27,5,3,16
OKC,NJN,W,13,50,12,38,12,5,0.417,41,32,0.78,101,43,0.426,19,10,5,31
CHI,PHX,W,16,57,18,39,19,6,0.316,27,17,0.63,104,50,0.481,25,8,7,27
PHX,HOU,W,12,33,6,27,13,7,0.538,38,32,0.842,78,42,0.538,21,5,5,14
CHA,PHX,W,14,41,8,33,19,9,0.474,19,14,0.737,87,50,0.575,37,6,6,27
MIA,PHX,W,11,42,9,33,19,7,0.368,25,22,0.88,86,47,0.547,29,9,3,27
PHX,MEM,W,28,55,21,34,35,14,0.4,32,23,0.719,101,43,0.426,23,13,2,29
CLE,PHI,W,17,41,13,28,13,3,0.231,48,38,0.792,75,41,0.547,22,6,1,17
LAC,WAS,W,11,50,13,37,14,5,0.357,43,31,0.721,83,43,0.518,24,4,4,24
MIN,UTA,W,14,42,12,30,17,10,0.588,25,20,0.8,84,46,0.548,29,9,5,17
OKC,PHX,W,14,49,6,43,19,7,0.368,47,37,0.787,80,39,0.488,24,8,9,21
GSW,LAC,W,14,35,7,28,26,14,0.538,24,22,0.917,82,43,0.524,29,9,3,22
