Team,Opponent,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveReboundsThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentageFieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
IND,CHI,W,14,59,15,44,15,7,0.467,38,29,0.763,84,52,0.619,34,10,7,16
MIL,CLE,W,13,44,14,30,33,16,0.485,39,32,0.821,97,46,0.474,33,16,11,28
MIL,GSW,W,9,46,20,26,21,10,0.476,22,16,0.727,116,56,0.483,36,11,5,24
GSW,ORL,W,15,52,17,35,12,7,0.583,39,32,0.821,82,48,0.585,31,7,5,29
GSW,MIL,L,21,52,12,40,17,8,0.471,38,31,0.816,89,47,0.528,26,4,3,25
CLE,MIL,L,23,53,17,36,15,8,0.533,26,21,0.808,106,52,0.491,31,4,7,27
DAL,SAC,W,11,55,12,43,25,10,0.4,33,25,0.758,99,47,0.475,26,6,5,22
GSW,UTA,W,13,46,16,30,15,9,0.6,39,35,0.897,80,42,0.525,27,4,10,16
MEM,CLE,W,12,36,5,31,15,8,0.533,22,16,0.727,85,52,0.612,34,10,6,20
LAL,DEN,W,22,46,14,32,27,14,0.519,35,26,0.743,87,43,0.494,28,8,6,25
MEM,MIA,W,19,42,6,36,17,9,0.529,34,29,0.853,82,44,0.537,33,11,5,25
SAC,DAL,W,15,60,21,39,26,10,0.385,27,20,0.741,103,48,0.466,30,7,2,24
IND,MIL,W,17,35,10,25,13,8,0.615,45,38,0.844,80,40,0.5,25,10,2,27
LAC,NJN,W,11,39,9,30,25,11,0.44,26,23,0.885,92,46,0.5,29,6,10,22
POR,TOR,W,8,36,6,30,15,9,0.6,22,16,0.727,78,50,0.641,35,6,4,16
NOH,MEM,W,16,37,11,26,14,7,0.5,26,22,0.846,88,48,0.545,34,7,3,27
POR,GSW,W,13,34,11,23,16,7,0.438,24,20,0.833,90,49,0.544,25,13,6,17
BOS,GSW,W,4,36,12,24,29,14,0.483,21,17,0.81,96,47,0.49,29,3,3,28
NYK,CLE,W,16,53,14,39,23,10,0.435,32,25,0.781,85,45,0.529,33,3,9,20
ORL,SAC,W,20,45,11,34,15,5,0.333,28,24,0.857,88,48,0.545,34,7,3,25
SAS,TOR,W,11,43,14,29,17,11,0.647,20,15,0.75,82,49,0.598,21,9,3,20
CLE,GSW,W,16,54,17,37,13,3,0.231,23,19,0.826,98,51,0.52,36,8,8,26
MEM,ATL,W,15,56,13,43,18,9,0.5,15,15,1.0,89,50,0.562,36,6,6,24
MEM,CHI,W,15,38,6,32,14,6,0.429,30,22,0.733,79,48,0.608,34,12,8,21
DAL,SAC,L,12,40,10,30,28,11,0.393,26,23,0.885,96,45,0.469,30,8,7,19
LAL,SAC,W,10,40,10,30,17,9,0.529,34,29,0.853,85,43,0.506,18,7,7,22
SAC,DAL,L,13,49,10,39,23,11,0.478,25,20,0.8,102,46,0.451,31,7,3,21
MEM,NOH,L,13,28,6,22,18,7,0.389,26,16,0.615,87,50,0.575,30,10,3,28
SAC,DAL,W,16,46,11,35,20,13,0.65,19,14,0.737,87,48,0.552,34,11,5,23
LAC,GSW,W,11,61,27,34,22,10,0.455,28,24,0.857,101,44,0.436,25,8,7,25
POR,GSW,W,15,47,11,36,25,11,0.44,22,17,0.773,87,47,0.54,31,10,5,17
NJN,NYK,W,15,38,9,29,16,6,0.375,17,16,0.941,81,50,0.617,33,9,2,17
CLE,UTA,W,15,49,13,36,11,7,0.636,22,15,0.682,83,50,0.602,34,8,7,22
DAL,DEN,W,12,36,8,28,20,12,0.6,17,14,0.824,87,48,0.552,31,8,4,20
TOR,MIL,W,9,48,14,34,18,7,0.389,38,31,0.816,91,42,0.462,23,5,11,24
DAL,LAC,W,15,45,11,34,24,14,0.583,24,22,0.917,81,43,0.531,29,7,8,26
HOU,CHI,W,19,35,4,31,17,10,0.588,32,29,0.906,71,41,0.577,29,17,10,17
LAL,DEN,W,15,47,16,31,12,4,0.333,31,27,0.871,85,45,0.529,29,11,8,16
HOU,MIN,W,14,37,11,26,15,5,0.333,19,16,0.842,86,50,0.581,30,9,6,18
DAL,GSW,W,10,36,9,27,13,5,0.385,41,36,0.878,82,40,0.488,18,9,6,24
NJN,ORL,W,10,45,11,34,20,11,0.55,17,14,0.824,88,48,0.545,33,6,4,22
SAC,ORL,L,16,40,16,24,16,6,0.375,33,23,0.697,96,46,0.479,26,13,3,26
POR,PHX,W,17,41,10,31,15,4,0.267,24,20,0.833,84,48,0.571,30,13,1,18
NYK,MIL,W,7,39,11,28,34,14,0.412,44,40,0.909,75,33,0.44,23,4,3,23
MIL,ATL,W,4,46,15,31,23,12,0.522,12,8,0.667,97,50,0.515,33,9,5,24
MIL,DAL,W,12,42,8,34,29,12,0.414,27,20,0.741,82,44,0.537,31,2,4,19
NJN,CLE,W,15,42,8,34,10,5,0.5,36,27,0.75,82,44,0.537,28,16,4,16
LAC,ORL,W,15,37,9,28,8,4,0.5,36,30,0.833,76,43,0.566,22,5,4,25
MIN,CHI,W,16,57,14,43,14,9,0.643,17,12,0.706,94,49,0.521,43,4,4,18
DAL,MIN,W,12,40,11,29,23,11,0.478,14,10,0.714,88,49,0.557,39,5,4,27
SEA,LAL,W,12,38,12,26,23,10,0.435,27,23,0.852,76,43,0.566,24,8,2,19
SAC,TOR,W,13,45,8,37,12,4,0.333,22,17,0.773,83,49,0.59,36,10,8,18
MEM,TOR,W,10,43,14,29,14,5,0.357,12,10,0.833,92,52,0.565,29,8,5,17
CHI,GSW,W,16,47,14,33,12,7,0.583,24,18,0.75,87,47,0.54,33,5,8,21
PHI,CLE,W,10,39,12,27,6,2,0.333,44,39,0.886,83,39,0.47,23,9,5,21
PHI,CHI,W,10,49,22,27,12,2,0.167,35,27,0.771,102,45,0.441,30,15,1,28
LAL,SEA,W,16,39,13,26,32,17,0.531,26,16,0.615,77,43,0.558,32,7,5,21
POR,SAC,W,16,48,16,32,18,7,0.389,36,26,0.722,97,43,0.443,26,15,2,24
MIL,IND,L,18,40,12,28,20,4,0.2,34,27,0.794,88,44,0.5,28,11,5,34
ATL,SEA,W,27,55,20,35,16,9,0.563,37,28,0.757,82,41,0.5,25,4,4,25
DAL,MEM,W,14,46,13,33,24,10,0.417,20,15,0.75,95,47,0.495,32,11,3,25
SAS,ORL,W,15,37,9,28,21,9,0.429,28,23,0.821,76,43,0.566,25,8,6,16
PHI,ORL,W,17,61,26,35,10,3,0.3,43,33,0.767,95,41,0.432,16,9,4,30
HOU,LAC,W,14,36,9,27,32,11,0.344,17,15,0.882,93,46,0.495,23,7,8,23
MIN,CLE,W,4,35,9,26,5,3,0.6,17,13,0.765,89,51,0.573,40,6,3,13
NYK,ORL,W,15,61,15,46,23,10,0.435,23,18,0.783,104,45,0.433,25,10,2,21
PHX,MIL,W,9,39,7,32,18,12,0.667,23,16,0.696,85,45,0.529,21,3,5,22
GSW,TOR,W,13,53,16,37,15,4,0.267,44,36,0.818,93,39,0.419,16,12,7,22
DET,BOS,W,9,49,7,42,32,12,0.375,31,24,0.774,79,41,0.519,24,7,3,15
POR,CLE,W,12,40,7,33,11,5,0.455,28,23,0.821,78,45,0.577,32,11,3,19
SAC,NJN,W,12,49,11,38,16,8,0.5,22,18,0.818,89,46,0.517,33,9,3,18
UTA,MIL,W,13,38,20,18,9,3,0.333,46,31,0.674,79,42,0.532,26,13,0,23
WAS,MEM,W,14,37,8,29,13,6,0.462,19,18,0.947,76,47,0.618,32,8,6,16
DAL,IND,W,12,47,16,31,24,10,0.417,18,16,0.889,97,46,0.474,27,9,8,25
NJN,LAC,L,16,51,18,33,29,15,0.517,21,15,0.714,94,44,0.468,29,6,7,23
SAC,PHX,W,18,39,11,28,17,8,0.471,39,28,0.718,80,41,0.513,24,13,8,22
LAL,GSW,W,9,48,16,32,19,8,0.421,31,25,0.806,91,42,0.462,26,7,6,23
DAL,GSW,W,12,48,9,39,19,7,0.368,34,32,0.941,88,39,0.443,28,8,4,17
PHX,GSW,W,8,43,15,28,17,6,0.353,18,15,0.833,99,48,0.485,29,9,3,22
LAL,SAC,W,14,43,17,26,18,9,0.5,22,18,0.818,94,45,0.479,30,8,1,27
CHI,MIL,W,21,46,14,32,17,6,0.353,26,21,0.808,88,45,0.511,29,8,9,23
HOU,GSW,W,21,47,15,32,19,9,0.474,32,26,0.813,83,41,0.494,20,11,9,25
SAC,GSW,W,18,66,22,44,20,10,0.5,19,15,0.789,99,46,0.465,22,10,4,21
MIN,MIL,W,18,44,8,36,12,6,0.5,37,31,0.838,73,40,0.548,26,7,1,19
GSW,BOS,L,15,56,24,32,22,7,0.318,42,30,0.714,89,40,0.449,25,1,8,24
NYK,LAL,W,13,36,7,29,16,9,0.563,29,24,0.828,78,42,0.538,27,6,3,20
DAL,ATL,W,8,39,8,31,21,10,0.476,19,17,0.895,88,45,0.511,28,7,2,14
NJN,BOS,W,11,46,8,38,13,3,0.231,30,24,0.8,83,45,0.542,31,13,3,28
MIL,TOR,L,10,48,11,37,15,6,0.4,37,31,0.838,85,40,0.471,26,3,3,29
ORL,ATL,W,12,48,15,33,15,6,0.4,24,19,0.792,89,46,0.517,24,11,5,16
MEM,SEA,W,17,37,10,27,23,11,0.478,10,10,1.0,81,48,0.593,30,10,5,16
ATL,TOR,W,16,40,14,26,10,4,0.4,16,15,0.938,86,49,0.57,27,6,5,21
ORL,LAC,L,10,33,13,20,29,7,0.241,33,30,0.909,85,40,0.471,23,4,5,29
BOS,NYK,W,13,34,12,22,22,8,0.364,51,43,0.843,72,33,0.458,20,11,4,16
DAL,GSW,W,10,42,18,24,26,10,0.385,15,12,0.8,95,47,0.495,27,7,9,25
CHI,LAL,W,16,45,10,35,15,12,0.8,22,16,0.727,80,44,0.55,32,7,6,23
MIA,MEM,L,16,41,13,28,15,9,0.6,19,15,0.789,95,46,0.484,27,10,7,29
PHI,CLE,W,12,44,15,29,10,2,0.2,38,30,0.789,85,42,0.494,28,9,4,19
NYK,PHX,W,16,41,13,28,30,13,0.433,32,27,0.844,88,38,0.432,26,9,0,29
GSW,ATL,W,17,41,11,30,19,10,0.526,31,26,0.839,84,40,0.476,19,11,2,15
SAS,POR,W,16,44,10,34,19,6,0.316,39,34,0.872,78,38,0.487,23,3,9,23
PHX,GSW,W,12,41,15,26,15,4,0.267,38,32,0.842,89,40,0.449,16,8,8,25
IND,GSW,W,10,37,9,28,14,7,0.5,33,27,0.818,78,41,0.526,39,12,10,21
MEM,LAC,W,15,45,15,30,15,6,0.4,28,20,0.714,86,45,0.523,26,6,3,23
GSW,DAL,L,15,55,22,33,25,11,0.44,32,25,0.781,93,40,0.43,30,5,3,29
SEA,ATL,L,7,32,11,21,11,2,0.182,28,24,0.857,95,45,0.474,17,11,6,26
SAC,MEM,W,14,45,11,34,17,7,0.412,26,21,0.808,88,44,0.5,30,9,9,21
CHI,PHI,W,21,29,4,25,15,10,0.667,16,13,0.813,73,46,0.63,32,4,9,29
CHI,IND,W,11,38,13,25,15,8,0.533,28,25,0.893,87,41,0.471,28,5,6,25
LAL,PHX,W,20,43,10,33,20,7,0.35,26,18,0.692,85,45,0.529,29,10,10,23
MIL,CHI,L,14,56,29,27,20,8,0.4,30,19,0.633,108,44,0.407,31,16,4,28
MEM,CLE,W,18,40,10,30,13,3,0.231,31,18,0.581,82,47,0.573,33,15,9,21
GSW,ATL,W,13,60,17,43,15,6,0.4,35,29,0.829,87,40,0.46,21,7,8,18
PHX,NYK,L,17,41,8,33,11,2,0.182,41,33,0.805,75,40,0.533,21,9,3,29
PHX,CHI,W,10,42,14,28,11,4,0.364,34,25,0.735,87,43,0.494,22,9,5,23
ATL,SAC,W,12,42,8,34,17,10,0.588,19,17,0.895,88,44,0.5,30,10,0,26
CHI,ATL,W,10,42,16,26,17,10,0.588,18,11,0.611,89,47,0.528,29,8,4,20
LAL,CLE,W,23,54,18,36,17,6,0.353,32,25,0.781,91,42,0.462,31,9,8,25
MIN,SAC,W,21,57,18,39,4,1,0.25,32,22,0.688,93,46,0.495,29,5,4,21
MIL,UTA,L,20,27,9,18,17,8,0.471,27,23,0.852,75,42,0.56,25,10,3,30
BOS,CLE,W,16,45,10,35,29,14,0.483,21,11,0.524,83,45,0.542,31,10,5,18
NOH,CHI,W,9,37,12,25,8,5,0.625,19,14,0.737,88,48,0.545,31,11,2,17
DAL,SEA,W,10,47,18,29,26,8,0.308,31,29,0.935,92,39,0.424,19,6,4,20
TOR,ORL,W,16,49,18,31,9,3,0.333,31,26,0.839,86,43,0.5,17,4,5,25
HOU,ORL,W,23,46,15,31,21,9,0.429,32,25,0.781,79,40,0.506,25,14,5,20
DAL,LAC,W,9,43,14,29,21,8,0.381,27,24,0.889,86,41,0.477,27,8,3,21
ATL,PHI,W,16,39,5,34,9,5,0.556,37,33,0.892,70,38,0.543,22,10,3,21
DAL,CLE,W,13,36,6,30,17,9,0.529,30,23,0.767,80,41,0.513,27,13,9,24
GSW,DAL,L,13,40,12,28,27,8,0.296,32,28,0.875,84,39,0.464,27,4,3,18
LAC,HOU,L,18,39,8,31,17,7,0.412,30,23,0.767,81,42,0.519,25,10,4,19
DAL,MEM,W,10,49,13,36,18,8,0.444,19,16,0.842,91,45,0.495,31,10,2,25
MIL,MIN,L,10,34,14,20,24,9,0.375,18,13,0.722,95,46,0.484,25,7,2,30
TOR,GSW,L,16,53,15,38,17,9,0.529,32,23,0.719,96,41,0.427,24,9,6,32
MIN,NOH,W,7,38,10,28,19,12,0.632,10,8,0.8,91,47,0.516,39,8,4,19
DAL,MIL,L,5,43,14,29,24,8,0.333,17,10,0.588,97,48,0.495,26,4,3,24
LAL,NYK,W,18,42,11,31,15,9,0.6,30,21,0.7,79,42,0.532,23,9,6,17
BOS,SEA,W,6,48,11,37,36,16,0.444,15,12,0.8,89,43,0.483,30,8,1,19
POR,CLE,W,13,37,11,26,13,7,0.538,28,23,0.821,83,42,0.506,30,13,4,20
GSW,LAL,W,13,35,11,24,12,4,0.333,25,22,0.88,80,44,0.55,23,7,4,22
NOH,PHX,W,13,39,12,27,12,7,0.583,33,25,0.758,78,41,0.526,32,10,3,22
NYK,PHI,W,12,37,11,26,32,16,0.5,20,14,0.7,84,42,0.5,26,11,3,21
MEM,HOU,W,14,46,12,34,23,9,0.391,30,25,0.833,87,40,0.46,22,6,7,26
BOS,ORL,W,16,42,5,37,31,12,0.387,35,24,0.686,82,39,0.476,25,14,5,23
MIN,GSW,W,14,46,19,27,5,2,0.4,22,18,0.818,91,47,0.516,31,9,3,25
IND,SEA,W,17,50,20,30,24,10,0.417,19,10,0.526,102,47,0.461,26,6,5,27
DAL,DET,W,4,39,5,34,17,8,0.471,28,24,0.857,79,41,0.519,24,10,2,24
DAL,CHI,W,13,47,9,38,18,9,0.5,30,25,0.833,81,40,0.494,26,10,11,21
MIN,MIL,W,11,43,9,34,12,5,0.417,28,21,0.75,87,44,0.506,31,5,3,16
WAS,BOS,W,16,59,15,44,13,4,0.308,28,24,0.857,82,43,0.524,27,8,7,19
GSW,LAC,L,9,56,27,29,24,8,0.333,29,21,0.724,104,42,0.404,24,4,10,18
PHX,LAL,L,16,53,22,31,8,1,0.125,25,18,0.72,107,47,0.439,25,15,4,24
ORL,PHI,L,14,38,13,25,28,8,0.286,33,23,0.697,91,41,0.451,23,8,8,30
GSW,WAS,W,18,43,17,26,22,10,0.455,26,19,0.731,86,42,0.488,25,6,2,16
SAC,POR,W,12,41,7,34,16,7,0.438,14,14,1.0,90,46,0.511,30,9,2,18
NOH,MIL,W,19,45,16,29,12,5,0.417,27,20,0.741,84,44,0.524,32,10,5,23
DET,PHI,W,15,49,12,37,23,12,0.522,20,17,0.85,82,42,0.512,21,10,12,16
GSW,PHX,W,20,58,19,39,20,9,0.45,26,18,0.692,87,43,0.494,29,7,7,24
ORL,NJN,W,14,41,5,36,19,7,0.368,35,28,0.8,76,39,0.513,24,6,5,20
LAL,DEN,W,13,51,8,43,17,5,0.294,44,34,0.773,76,37,0.487,19,6,6,27
GSW,NYK,W,21,46,3,43,12,4,0.333,33,23,0.697,73,43,0.589,19,8,1,18
ATL,GSW,L,18,45,12,33,12,5,0.417,19,16,0.842,92,46,0.5,21,12,6,24
SAC,LAL,L,11,36,11,25,20,11,0.55,25,18,0.72,91,42,0.462,18,6,5,29
ORL,CLE,W,20,49,17,32,19,6,0.316,37,27,0.73,91,40,0.44,21,11,5,36
CHI,UTA,W,17,37,11,26,15,8,0.533,30,25,0.833,75,40,0.533,20,11,7,31
SAC,POR,L,20,45,11,34,20,7,0.35,27,20,0.741,90,43,0.478,26,13,5,24
IND,CLE,W,15,45,11,34,23,9,0.391,24,22,0.917,86,41,0.477,29,10,2,16
MIN,CHI,W,12,54,13,41,10,3,0.3,32,24,0.75,89,43,0.483,30,5,5,19
POR,GSW,W,15,34,9,25,12,3,0.25,24,22,0.917,84,44,0.524,31,12,4,24
BOS,NYK,W,12,37,4,33,19,10,0.526,24,19,0.792,73,42,0.575,20,14,2,22
MIN,ATL,W,10,42,19,23,9,7,0.778,27,20,0.741,88,43,0.489,30,3,11,16
DAL,TOR,W,10,36,8,28,13,6,0.462,30,25,0.833,74,41,0.554,23,12,5,16
PHX,DAL,W,12,44,10,34,15,7,0.467,22,15,0.682,88,45,0.511,30,15,9,20
MIL,LAC,W,13,41,10,31,13,4,0.308,22,20,0.909,83,44,0.53,24,7,6,22
POR,DAL,W,15,48,13,35,15,7,0.467,25,17,0.68,81,44,0.543,29,5,1,18
PHI,TOR,W,11,38,12,26,10,4,0.4,27,20,0.741,78,44,0.564,25,10,9,21
SAS,DAL,W,13,43,13,30,23,9,0.391,20,11,0.55,87,46,0.529,24,3,5,26
MIL,PHX,L,7,32,7,25,25,9,0.36,30,25,0.833,84,39,0.464,25,6,4,21
DAL,MIN,W,5,44,15,29,19,8,0.421,23,16,0.696,91,44,0.484,25,6,7,15
POR,ATL,W,17,57,18,39,12,4,0.333,36,28,0.778,97,40,0.412,22,10,3,28
LAC,SAC,W,19,51,15,36,12,6,0.5,46,38,0.826,76,34,0.447,21,7,4,16
PHI,NYK,L,15,43,12,31,12,5,0.417,33,27,0.818,76,40,0.526,24,8,1,16
ORL,WAS,W,15,38,9,29,20,10,0.5,30,22,0.733,76,40,0.526,31,7,3,30
LAL,DEN,W,19,42,7,35,11,7,0.636,16,15,0.938,77,45,0.584,36,5,3,24
IND,ATL,W,10,45,13,32,12,5,0.417,38,29,0.763,79,39,0.494,30,9,2,22
CHI,CLE,W,15,35,11,24,7,3,0.429,34,25,0.735,74,42,0.568,20,11,2,28
LAL,MEM,W,19,52,17,35,9,5,0.556,23,17,0.739,97,45,0.464,20,15,3,23
ORL,LAL,W,10,43,13,30,19,10,0.526,35,28,0.8,81,37,0.457,18,5,2,20
MIL,CLE,W,11,45,13,32,19,8,0.421,32,26,0.813,82,39,0.476,23,8,9,17
POR,LAC,W,23,47,17,30,6,4,0.667,28,24,0.857,77,42,0.545,26,10,3,26
BOS,UTA,W,18,34,10,24,29,10,0.345,23,20,0.87,85,41,0.482,28,19,5,28
GSW,LAL,L,13,49,15,34,25,9,0.36,28,20,0.714,90,41,0.456,19,7,10,25
DET,CHI,W,14,40,9,31,28,8,0.286,47,39,0.83,75,32,0.427,22,10,3,19
MEM,LAC,W,14,46,16,30,14,7,0.5,34,28,0.824,89,38,0.427,27,11,3,23
PHX,MIN,W,9,49,16,33,16,4,0.25,20,19,0.95,94,44,0.468,30,5,7,17
MIA,MIN,W,18,37,7,30,10,5,0.5,20,14,0.7,74,46,0.622,30,11,9,22
MIL,NYK,L,8,35,10,25,21,7,0.333,23,20,0.87,87,42,0.483,20,2,0,28
MIN,POR,W,12,41,15,26,17,10,0.588,17,15,0.882,85,43,0.506,27,7,4,14
LAC,TOR,W,17,40,13,27,16,8,0.5,28,21,0.75,81,41,0.506,20,8,2,26
DET,LAL,W,11,35,8,27,20,7,0.35,34,26,0.765,75,39,0.52,17,11,4,18
SAS,MIN,W,14,42,12,30,18,8,0.444,23,19,0.826,82,42,0.512,29,7,4,21
ATL,MIL,W,11,35,5,30,17,9,0.529,17,14,0.824,79,44,0.557,35,7,3,23
UTA,ORL,W,17,39,9,30,10,4,0.4,37,31,0.838,71,38,0.535,24,8,3,22
ORL,DEN,W,17,43,13,30,24,10,0.417,34,23,0.676,83,39,0.47,22,10,5,24
NYK,ORL,W,18,39,10,29,16,7,0.438,30,26,0.867,74,39,0.527,16,8,3,21
ORL,MIL,W,13,57,15,42,24,9,0.375,26,18,0.692,93,42,0.452,14,7,3,22
ATL,CLE,W,20,37,12,25,9,4,0.444,32,29,0.906,76,39,0.513,24,8,7,24
BOS,MEM,W,11,44,13,31,22,12,0.545,24,13,0.542,81,43,0.531,15,5,4,17
