Team,Opponent,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveReboundsThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentageFieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
ATL,NYK,W,14,40,15,25,15,6,0.4,48,41,0.854,83,46,0.554,29,6,6,26
DAL,WAS,W,14,40,7,33,17,11,0.647,41,36,0.878,78,45,0.577,23,9,4,27
SAS,GSW,W,12,59,25,34,24,11,0.458,37,27,0.73,112,49,0.438,24,3,5,26
PHX,UTA,W,13,34,9,25,29,15,0.517,42,33,0.786,80,44,0.55,28,7,5,34
NYK,ATL,L,13,35,11,24,32,17,0.531,33,26,0.788,90,46,0.511,27,4,2,35
GSW,SAS,L,14,57,19,38,27,11,0.407,34,25,0.735,105,49,0.467,27,7,7,32
BOS,LAC,W,15,40,12,28,15,7,0.467,32,27,0.844,100,50,0.5,27,9,2,37
PHX,NYK,W,14,45,10,35,32,16,0.5,38,25,0.658,85,46,0.541,24,5,9,21
SAC,PHX,W,12,55,15,40,24,12,0.5,21,18,0.857,98,51,0.52,33,5,5,17
PHX,POR,W,14,32,9,23,19,9,0.474,33,24,0.727,85,48,0.565,28,7,6,18
ORL,TOR,W,18,61,14,47,14,6,0.429,28,21,0.75,89,51,0.573,28,6,7,29
SEA,UTA,W,10,35,10,25,29,13,0.448,41,32,0.78,81,42,0.519,25,4,2,27
PHX,DEN,W,19,39,6,33,27,14,0.519,28,22,0.786,81,46,0.568,28,9,5,23
SAC,CLE,W,13,39,13,26,19,10,0.526,26,22,0.846,84,48,0.571,31,8,3,25
TOR,PHI,W,11,45,18,27,34,21,0.618,15,13,0.867,95,47,0.495,32,9,3,11
UTA,PHX,L,11,42,15,27,11,4,0.364,43,26,0.605,89,49,0.551,27,4,2,38
PHX,BOS,W,20,38,13,25,25,13,0.52,27,21,0.778,85,47,0.553,31,13,4,14
SAS,PHX,W,15,44,13,31,29,11,0.379,29,23,0.793,96,47,0.49,26,13,5,20
TOR,MIL,W,16,42,10,32,23,12,0.522,26,23,0.885,88,46,0.523,29,9,2,26
GSW,PHX,W,15,57,24,33,35,18,0.514,19,13,0.684,105,48,0.457,32,6,6,17
