Team,Opponent,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveReboundsThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentageFieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
DAL,DEN,W,17,49,11,38,29,11,0.379,24,19,0.792,109,57,0.523,39,8,6,23
DEN,DAL,L,15,61,27,34,43,15,0.349,25,22,0.88,125,53,0.424,29,10,1,26
DAL,LAL,W,9,39,11,28,35,18,0.514,28,20,0.714,82,51,0.622,37,4,2,16
NOP,MIN,W,13,34,3,31,20,15,0.75,16,12,0.75,84,56,0.667,31,13,3,30
OKC,MIN,W,13,46,18,28,28,12,0.429,31,22,0.71,95,52,0.547,22,10,6,25
OKC,PHX,W,14,50,19,31,35,11,0.314,49,44,0.898,99,41,0.414,22,6,4,27
GSW,LAL,W,16,51,11,40,28,14,0.5,34,30,0.882,86,46,0.535,32,4,5,26
DAL,OKC,W,6,34,4,30,15,4,0.267,24,19,0.792,91,56,0.615,35,8,1,23
SAC,NYK,W,17,39,10,29,16,8,0.5,33,29,0.879,89,49,0.551,23,9,7,27
PHX,OKC,L,14,39,7,32,27,13,0.481,35,29,0.829,90,46,0.511,17,7,3,35
GSW,DEN,W,13,41,14,27,28,13,0.464,34,26,0.765,90,47,0.522,30,11,6,25
WAS,BOS,W,23,49,11,38,16,7,0.438,34,28,0.824,94,49,0.521,32,10,3,26
BOS,WAS,L,17,46,14,32,22,9,0.409,32,29,0.906,102,47,0.461,27,17,4,30
DAL,CHI,W,14,46,12,34,30,15,0.5,27,23,0.852,102,47,0.461,30,9,6,28
ATL,BKN,W,13,34,7,27,33,17,0.515,19,16,0.842,82,49,0.598,40,15,4,16
OKC,DAL,L,11,46,15,31,31,14,0.452,33,27,0.818,93,45,0.484,23,4,1,21
OKC,LAC,W,11,54,16,38,20,8,0.4,38,31,0.816,88,46,0.523,26,8,6,21
GSW,HOU,W,14,49,12,37,22,9,0.409,33,22,0.667,91,50,0.549,32,11,11,21
DAL,MIN,W,9,40,12,28,26,8,0.308,23,19,0.826,94,52,0.553,31,5,10,24
SAC,DEN,W,13,40,9,31,20,8,0.4,50,39,0.78,76,42,0.553,21,8,3,30
SAS,OKC,W,10,49,11,38,21,13,0.619,19,15,0.789,88,51,0.58,28,7,4,12
ATL,SAC,W,13,33,10,23,36,20,0.556,7,4,0.571,88,53,0.602,42,8,6,18
POR,DEN,W,15,46,12,34,33,16,0.485,29,24,0.828,88,45,0.511,30,7,9,21
BKN,MIL,W,15,53,16,37,25,11,0.44,34,26,0.765,107,46,0.43,31,9,7,25
DAL,LAC,W,15,43,12,31,28,16,0.571,16,11,0.688,84,51,0.607,31,11,2,16
CLE,CHA,W,11,56,11,45,28,15,0.536,28,22,0.786,89,46,0.517,29,7,5,19
NYK,SAC,L,15,43,16,27,20,6,0.3,32,27,0.844,97,48,0.495,30,10,10,29
CHI,TOR,W,16,41,12,29,12,6,0.5,47,43,0.915,74,40,0.541,20,4,13,20
POR,SAS,W,14,58,15,43,35,13,0.371,23,22,0.957,110,47,0.427,18,12,5,24
CHI,DAL,L,18,52,15,37,26,8,0.308,34,27,0.794,103,47,0.456,38,5,6,22
LAL,TOR,W,10,54,12,42,24,10,0.417,34,25,0.735,96,47,0.49,24,4,7,21
CLE,SAS,W,12,37,11,26,26,14,0.538,30,26,0.867,91,44,0.484,19,8,2,22
GSW,DAL,W,13,46,10,36,38,19,0.5,25,19,0.76,86,45,0.523,29,5,5,22
DET,ORL,W,15,45,11,34,24,10,0.417,24,20,0.833,94,49,0.521,35,10,5,17
GSW,SAC,W,12,45,10,35,25,9,0.36,24,21,0.875,91,49,0.538,36,9,6,19
GSW,NOP,W,20,46,8,38,24,11,0.458,35,29,0.829,86,44,0.512,22,7,9,19
OKC,LAL,W,17,49,13,36,21,11,0.524,23,20,0.87,86,48,0.558,29,7,2,20
MIL,BKN,L,18,81,38,43,16,8,0.5,29,21,0.724,129,49,0.38,23,11,9,31
CLE,DAL,W,14,50,12,38,32,15,0.469,29,24,0.828,87,44,0.506,25,11,5,28
CLE,WAS,W,11,42,10,32,33,14,0.424,28,21,0.75,90,46,0.511,28,12,4,17
HOU,PHX,W,14,47,15,32,37,15,0.405,23,16,0.696,95,48,0.505,28,9,3,24
TOR,BKN,W,10,45,9,36,26,7,0.269,30,26,0.867,92,47,0.511,22,5,3,21
OKC,ORL,W,20,54,10,44,25,9,0.36,32,22,0.688,83,48,0.578,28,12,5,24
OKC,GSW,W,14,54,16,38,22,10,0.455,19,15,0.789,97,51,0.526,27,8,2,21
LAC,PHI,W,9,43,9,34,37,15,0.405,26,20,0.769,85,46,0.541,33,13,3,19
ATL,CLE,W,9,40,6,34,28,16,0.571,16,13,0.813,76,49,0.645,36,3,5,17
LAC,MIN,W,15,50,9,41,34,15,0.441,36,30,0.833,80,41,0.513,33,5,7,26
CLE,ATL,W,14,47,12,35,31,19,0.613,13,10,0.769,90,49,0.544,39,12,2,14
GSW,LAL,W,20,43,12,31,23,11,0.478,28,24,0.857,83,46,0.554,30,10,4,26
DEN,GSW,L,21,40,9,31,18,6,0.333,36,30,0.833,83,45,0.542,28,10,4,25
LAC,POR,W,6,40,7,33,28,15,0.536,24,19,0.792,86,46,0.535,30,6,3,21
LAC,SAC,W,11,54,11,43,35,14,0.4,28,20,0.714,95,46,0.484,31,9,11,29
GSW,SAC,W,18,46,12,34,40,17,0.425,22,19,0.864,94,45,0.479,32,13,8,22
GSW,HOU,W,18,46,16,30,29,13,0.448,18,15,0.833,98,49,0.5,26,13,9,23
CLE,LAC,W,20,44,12,32,23,10,0.435,31,24,0.774,83,46,0.554,23,9,3,30
GSW,TOR,W,9,45,14,31,28,12,0.429,20,16,0.8,92,49,0.533,35,8,8,18
GSW,PHI,W,14,42,8,34,28,12,0.429,27,22,0.815,82,46,0.561,38,19,11,20
TOR,ATL,W,11,36,11,25,29,14,0.483,33,28,0.848,82,42,0.512,24,7,7,24
GSW,NYK,W,11,42,8,34,34,19,0.559,17,16,0.941,90,45,0.5,34,13,6,16
SAS,CLE,L,13,41,9,32,26,8,0.308,27,19,0.704,87,49,0.563,28,6,9,26
PHX,TOR,W,17,41,8,33,23,8,0.348,28,21,0.75,89,48,0.539,26,15,2,29
CLE,MIN,W,17,38,12,26,24,12,0.5,31,25,0.806,84,44,0.524,24,11,6,23
SAS,LAC,W,11,33,2,31,23,13,0.565,22,14,0.636,77,49,0.636,37,6,2,19
DAL,MIL,W,11,36,8,28,31,12,0.387,19,15,0.789,84,49,0.583,29,14,8,14
SAC,NYK,W,14,46,8,38,18,10,0.556,37,32,0.865,83,41,0.494,26,9,2,20
OKC,DEN,W,13,40,9,31,24,12,0.5,35,26,0.743,80,43,0.538,24,4,5,23
ATL,GSW,W,13,38,4,34,27,15,0.556,37,33,0.892,77,38,0.494,28,13,4,19
PHX,DAL,W,12,44,14,30,33,13,0.394,32,23,0.719,97,44,0.454,30,12,3,26
TOR,MIL,W,16,57,15,42,25,15,0.6,24,19,0.792,86,45,0.523,27,8,4,24
GSW,DAL,W,14,55,17,38,36,14,0.389,32,23,0.719,95,43,0.453,28,12,4,37
SAS,DEN,W,18,45,14,31,34,14,0.412,17,15,0.882,85,47,0.553,33,11,8,15
BKN,IND,W,9,35,3,32,12,6,0.5,31,25,0.806,75,46,0.613,21,4,4,18
OKC,ATL,W,12,44,10,34,30,13,0.433,26,24,0.923,84,43,0.512,26,6,6,19
SAS,MIN,W,14,42,6,36,22,12,0.545,15,13,0.867,84,49,0.583,38,13,6,17
CLE,ORL,W,17,34,3,31,35,18,0.514,19,15,0.789,76,45,0.592,26,9,6,21
OKC,PHI,W,14,54,9,45,21,7,0.333,34,28,0.824,96,44,0.458,19,9,9,31
TOR,LAC,W,14,42,10,32,30,13,0.433,37,30,0.811,75,40,0.533,25,7,1,19
LAL,CHI,W,13,54,18,36,9,3,0.333,25,20,0.8,106,50,0.472,26,5,8,27
LAC,BKN,W,14,48,9,39,25,11,0.44,21,14,0.667,83,49,0.59,41,8,9,17
SAS,MIN,W,17,43,8,35,18,7,0.389,25,22,0.88,82,47,0.573,30,5,6,24
TOR,UTA,W,9,37,8,29,21,12,0.571,24,21,0.875,79,45,0.57,15,7,3,16
DAL,PHI,W,15,51,9,42,32,11,0.344,36,30,0.833,80,41,0.513,33,14,5,25
SAC,LAL,W,10,42,6,36,17,8,0.471,41,22,0.537,84,46,0.548,30,10,4,16
DEN,SAC,W,18,42,10,32,26,9,0.346,30,23,0.767,82,45,0.549,32,15,1,29
POR,LAC,L,9,43,13,30,25,13,0.52,25,19,0.76,89,45,0.506,25,4,3,19
GSW,POR,W,14,46,6,40,26,12,0.462,11,10,0.909,83,50,0.602,37,4,5,18
OKC,BOS,W,17,46,18,28,19,5,0.263,39,33,0.846,88,42,0.477,19,12,2,26
BKN,MIN,W,14,43,13,30,13,5,0.385,17,13,0.765,90,52,0.578,21,8,2,15
BKN,TOR,L,7,50,14,36,19,4,0.211,26,20,0.769,101,49,0.485,19,7,4,20
GSW,DEN,W,13,53,7,46,27,13,0.481,27,21,0.778,81,44,0.543,30,10,6,14
MEM,PHX,W,24,54,11,43,21,9,0.429,24,17,0.708,100,48,0.48,24,7,8,25
NOP,GSW,L,14,44,12,32,27,8,0.296,25,20,0.8,101,47,0.465,22,14,6,27
TOR,LAL,L,8,53,14,39,34,9,0.265,31,23,0.742,104,45,0.433,25,6,6,28
DEN,PHX,W,18,58,16,42,21,8,0.381,36,32,0.889,88,41,0.466,20,10,3,27
PHX,PHI,W,13,46,11,35,31,13,0.419,23,21,0.913,86,44,0.512,24,11,0,25
MIL,BKN,W,15,51,16,35,24,5,0.208,28,21,0.75,108,48,0.444,23,12,4,28
CLE,BOS,W,11,40,8,32,23,8,0.348,37,28,0.757,85,43,0.506,22,5,5,21
CHA,ATL,W,21,51,11,40,21,6,0.286,27,20,0.741,97,48,0.495,31,6,7,30
HOU,NOP,W,11,40,9,31,24,9,0.375,48,34,0.708,73,39,0.534,16,6,6,18
MIN,POR,W,8,45,10,35,7,4,0.571,31,25,0.806,85,46,0.541,26,7,3,15
NYK,DET,W,11,58,18,40,18,6,0.333,26,25,0.962,109,45,0.413,28,6,9,35
GSW,SAC,W,11,49,14,35,23,10,0.435,26,19,0.731,91,46,0.505,33,13,5,23
